Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
Cross-Media Communications: an Introduction to the Art of Creating Integrated Media Experiences;Drew Davidson;Davidson;gamedesign;;;
Well Played: Video Games, Value and Meaning;Drew Davidson;Davidson;gamedesign;;;
I grandi miti greci;Luciano De Crescenzo;De Crescenzo Luciano;essay;;;
I miti degli eroi;Luciano De Crescenzo;De Crescenzo Luciano;essay;;;
Panta rei;Luciano De Crescenzo;De Crescenzo Luciano;essay;;;
Socrate;Luciano De Crescenzo;De Crescenzo Luciano;essay;;;
Ulisse era un fico;Luciano De Crescenzo;De Crescenzo Luciano;essay;;;
Vita di Luciano De Crescenzo scritta da lui medesimo;Luciano De Crescenzo;De Crescenzo Luciano;essay;;;
Così Parlò Bellavista;Luciano De Crescenzo;De Crescenzo, Luciano;essay;;;
Il caffè sospeso;Luciano De Crescenzo;De Crescenzo, Luciano;essay;;;
Storia della Filosofia Greca 1 I Presocratici;Luciano De Crescenzo;De Crescenzo, Luciano;essay;1;;
Storia della Filosofia Greca 2 Da Socrate in poi;Luciano De Crescenzo;De Crescenzo, Luciano;essay;1;;
Storia Della Filosofia Medioevale;Luciano De Crescenzo;De Crescenzo, Luciano;essay;;;
Storia della Filosofia Moderna 1 Da Niccolò Cusano a Galileo;Luciano De Crescenzo;De Crescenzo, Luciano;essay;;;
Storia Della Filosofia Moderna 2 Da Cartesio A Kant;Luciano De Crescenzo;De Crescenzo, Luciano;essay;;;
Democrazia e educazione;John Dewey;Dewey;edu;;;
La svastica sul sole;Philip K. Dick;Dick, Philip K.;novel;;;
Ma gli androidi sognano pecore elettriche?;Philip K. Dick;Dick, Philip K.;novel;1;;
Tutti i Racconti Vol 1 (1947-1953);Philip K. Dick;Dick, Philip K.;novel;1;;
Tutti i Racconti Vol 2 (1954);Philip K. Dick;Dick, Philip K.;novel;1;;
Tutti i Racconti Vol 3 (1955-63);Philip K. Dick;Dick, Philip K.;novel;;;
Tutti i Racconti Vol 4 (1964-84);Philip K. Dick;Dick, Philip K.;novel;;;
Ubik;Philip K. Dick;Dick, Philip K.;novel;1;;
Life Skills: How To Do Almost Anything;Agate Digital;Digital, Agate;gamedesign;;;
Mobile Media Learning: amazing uses of mobile devices for learning;Seann Dikkers, John Martin, Bob Coulter;Dikkers;gamedesign;;;
The Complete Sherlock Holmes;Arthur Conan Doyle;Doyle, Arthur Conan;novel;;2018/04/24;
Journal of Games, Self, & Society;Kelli Dunlap;Dunlap, Kelli;gamedesign;;;
The Runaway Species: How Human Creativity Remakes the World;David Eagleman, Anthony Brandt;Eagleman;essay;;;
Il cimitero di Praga;Umberto Eco;Eco, Umberto;novel;;;
Il nome della rosa;Umberto Eco;Eco, Umberto;novel;1;;
Il pendolo di Foucault;Umberto Eco;Eco, Umberto;novel;1;;
La bustina di Minerva;Umberto Eco;Eco, Umberto;essay;;;
Numero zero;Umberto Eco;Eco, Umberto;novel;;;
Pape Satàn Aleppe: Cronache di una società liquida;Umberto Eco;Eco, Umberto;essay;;;
Teoria della Relatività;Albert Einstein;Einstein, Albert;steam;1;;
The World As I See It;Albert Einstein;Einstein, Albert;steam;;;
Arti del metallo e alchimia;Mircea Eliade;Eliade, Mircea;essay;;;
Cosmologia e alchimia babilonese;Mircea Eliade;Eliade, Mircea;essay;;;
Il sacro e il profano;Mircea Eliade;Eliade, Mircea;essay;1;;
ll mito dell'eterno ritorno;Mircea Eliade;Eliade, Mircea;essay;1;;
Lo sciamanesimo e le tecniche dell'estasi;Mircea Eliade;Eliade, Mircea;essay;;;
Lo yoga. Immortalità e libertà;Mircea Eliade;Eliade, Mircea;essay;1;;
Storia delle credenze e delle idee religiose;Mircea Eliade;Eliade, Mircea;essay;1;;
Un'altra giovinezza;Mircea Eliade;Eliade, Mircea;novel;;2009/01/01;
La storia infinita;Michael Ende;Ende, Michael;novel;1;;
Momo;Michael Ende;Ende, Michael;novel;;;
"Building Blocks of Tabletop Game Design; An Encyclopedia of Mechanisms";"Geoffrey Engelstein; Isaac Shalev";Engelstein;gamedesign;;;
Elogio della follia;Erasmo da Rotterdam;Erasmo da Rotterdam;essay;;;
Introduction to Artificial Intelligence;Wolfgang Ertel;Ertel, Wolfgang;ai;;;
Il mistero del Graal;Julius Evola;Evola;essay;;;
La Tradizione Ermetica;Julius Evola;Evola;essay;1;;
Metafisica del sesso;Julius Evola;Evola;essay;;;
Rivoluzione contro il mondo moderno;Julius Evola;Evola;essay;;;
Il libro dei paradossi;Nicholas Falletta;Falletta, Nicholas;essay;1;1989/01/01;
QED. La strana teoria della luce e della materia ;Richard P. Feynman;Feynman, Richard P.;steam;1;;
Il Grillo canta sempre al tramonto. Dialogo sull'Italia e il Movimento 5 stelle;Dario Fo;Fo, Dario;essay;;;
Lo zen e l'arte di scopare;Jacopo Fo;Fo, Jacopo;essay;1;;
I pilastri della terra;Ken Follett;Follett, Ken;novel;1;;
Orchestration;Cecil Forsyth;Forsyth;steam;;;
Il ramo d'oro. Studio sulla magia e la religione;James George Frazer;Frazer, James George;essay;1;1993/01/01;
Il mistero delle cattedrali;Fulcanelli;Fulcanelli;essay;;;
Le dimore filosofali;Fulcanelli;Fulcanelli;essay;;;
Game Design Workshop;Fullerton, Tracy;Fullerton, Tracy;gamedesign;;;
Formare alla complessità, prospettive dell'educazione nelle società globali;Galli, Cambi, Ceruti;Galli, Cambi, Ceruti;edu;;;
Enigmi e giochi matematici;Martin Gardner;Gardner, Martin;steam;;1991/01/01;
Paranoia;Dan Gelber;Gelber, Dan;novel;;1987/01/01;
Introduction to Game Design, Prototyping, and Development: From Concept to Playable Game with Unity and C#;Jeremy Gibson;Gibson, Jeremy;gamedesign;;;
Neuromante;William Gibson;Gibson, William;novel;1;;
Transmedia Storytelling: Imagery, Shapes and Techniques;Max Giovagnoli;Giovagnoli, Max;essay;;;
Emotional Intelligence: Why It Can Matter More Than IQ;Daniel Goleman;Goleman, Daniel;edu;;;
Intelligenza Emotiva;Daniel Goleman;Goleman, Daniel;edu;;;
Social Intelligence: The New Science of Human Relationships;Daniel Goleman;Goleman, Daniel;edu;;;
Alter Ego: Memorie di un viaggiatore ultracorporeo;Giuliano Golfieri;Golfieri, Giuliano;novel;;;
Deep Learning;Ian Goodfellow, Yoshua Bengio, Aaron Courville;Goodfellow;ai;;;
Intelligenza emotiva per un figlio: Una guida per i genitori;John Gottman;Gottman, John;edu;;;
Piccola filocalia della preghiera del cuore;J. Gouillard;Gouillard, J.;classic;1;;
No Place to Hide: Edward Snowden, the NSA and the Surveillance State;Glenn Greenwald;Greenwald, Glenn;essay;;;
The Zen Programmer;Christian Grobmeier;Grobmeier, Christian;steam;;;
Forrest Gump;Winston Groom ;Groom ;novel;1;;
Forme tradizionali e cicli cosmici;René Guénon;Guénon, René;essay;1;;
I princìpi del calcolo infinitesimale ;René Guénon;Guénon, René;essay;;;
Il Re del Mondo ;René Guénon;Guénon, René;essay;;;
Il regno della quantità e i segni dei tempi ;René Guénon;Guénon, René;essay;;;
L'esoterismo di Dante ;René Guénon;Guénon, René;essay;;;
